project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
lawnchair,2024-08-05T13:16:12.013Z,0,0,0,0,55,47,40,37,89,53,46,35,51,61,60,43,33,22.375,47.75,24.48870001799664,10.484682705192915,25.375,1.1340782122905029,0.6083364173767059,0.0379034004764999,0.0,0.0,3.38558995813238,5.0745024752964305,1.6889125171640504
appium,2024-05-01T06:56:54.106Z,0,0,0,0,0,0,0,34,40,34,35,39,39,22,28,14,25,4.25,29.5,12.020815280171307,8.864052604279182,25.25,5.9411764705882355,0.3333333333333334,0.5143290043290046,0.0,0.0,0.2872667103984313,2.9265274867959716,2.63926077639754
discordpy,2022-04-03T00:50:44.364Z,0,0,0,0,0,0,0,0,30,30,32,25,32,16,23,21,17,0.0,24.5,0.0,6.391959234627741,24.5,inf,0.0,0.5874125874125874,0.0,0.0,-0.43923667182883946,2.3380411885766677,2.777277860405507
tastyigniter,2020-03-18T22:19:54.568Z,0,0,0,0,0,0,0,0,1,20,25,20,20,7,18,42,43,0.0,24.375,0.0,12.293290853144248,24.375,inf,0.0,0.2899399627510226,0.0,0.0,-0.43923667182883946,2.323329031121185,2.7625657029500243
tastyigniter,2020-03-18T22:19:54.568Z,0,0,0,0,0,0,0,0,1,20,25,20,20,7,18,42,43,0.0,24.375,0.0,12.293290853144248,24.375,inf,0.0,0.2899399627510226,0.0,0.0,-0.43923667182883946,2.323329031121185,2.7625657029500243
dnscrypt,2019-07-19T18:00:08.162Z,0,0,0,6,27,28,24,24,27,20,20,46,64,46,41,30,35,13.625,37.75,13.179394089692764,14.801061737977736,24.125,1.7706422018348624,0.7561133222693828,0.05777322340739362,0.0,0.0,1.8898477006056462,3.897529878857823,2.0076821782521765
vuepress,2019-10-03T09:03:38.866Z,0,0,0,0,0,7,50,37,49,34,38,38,24,36,54,30,33,11.75,35.875,20.048156309959563,8.659222993845512,24.125,2.0531914893617023,0.594286052789696,0.00191655609612266,0.0,0.0,1.5693315025642032,3.676847517025584,2.107516014461381
vuepress,2019-10-03T09:03:38.866Z,0,0,0,0,0,7,50,37,49,34,38,38,24,36,54,30,33,11.75,35.875,20.048156309959563,8.659222993845512,24.125,2.0531914893617023,0.594286052789696,0.00191655609612266,0.0,0.0,1.5693315025642032,3.676847517025584,2.107516014461381
autokeras,2018-11-12T17:09:26.328Z,0,0,0,0,0,0,0,0,32,24,47,21,18,9,20,20,29,0.0,23.5,0.0,11.045361017187261,23.5,inf,0.0,0.08743169398907104,0.0,0.0,-0.43923667182883946,2.220343928932807,2.6595806007616463
bootstrap-vue-next,2023-05-17T06:18:08.931Z,0,0,0,0,0,0,0,0,0,0,18,30,21,25,42,25,22,0.0,22.875,0.0,11.813279452741792,22.875,inf,0.0,0.3195381287511807,0.0,0.0,-0.43923667182883946,2.146783141655394,2.5860198134842336
