project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
apollo-elements,2021-02-01T10:52:33.831Z,0,0,8,104,34,48,52,57,14,14,39,38,131,71,54,6,7
pypy,2018-10-29T03:03:46.408Z,98,172,173,110,44,78,23,47,42,50,113,87,162,83,109,90,106
mochajs,2016-04-01T14:34:11.748Z,16,37,6,15,30,50,13,14,30,35,23,76,31,20,22,22,7
android-password-store,2018-09-01T13:36:30.213Z,6,3,3,2,2,0,1,2,6,13,2,7,15,4,10,5,18
mapswipe,2020-06-23T16:35:24.594Z,38,20,25,0,1,32,40,50,83,67,26,60,35,9,38,25,0
web-scrobbler,2022-04-01T23:14:22.198Z,1,19,18,1,10,14,28,32,24,10,7,14,26,27,46,29,17
stylelint,2018-04-10T18:55:24.697Z,36,65,47,29,25,43,26,42,17,23,47,57,64,74,42,49,10
fody,2017-12-29T08:27:24.113Z,45,18,22,16,7,12,6,8,98,72,26,49,9,0,10,9,12
mongodb-memory-server,2020-12-21T01:11:12.286Z,4,5,1,8,8,194,188,80,1,48,78,190,1,15,55,58,96
open-registry,2019-04-29T15:38:19.747Z,0,0,0,0,0,0,0,0,48,53,0,0,0,0,0,0,0
onedark-pro,2021-07-06T14:56:57.118Z,23,9,2,22,3,26,8,3,31,21,32,23,10,7,7,10,38
tbox,2021-10-21T02:50:50.692Z,2,0,4,1,2,0,3,4,4,2,1,5,2,19,10,7,20
pre-commit,2018-11-02T03:09:53.665Z,28,3,28,18,49,19,8,34,10,37,39,19,40,24,32,12,34
cannlytics-company,2022-04-21T19:42:11.934Z,39,13,7,0,0,1,0,11,11,6,23,30,29,15,6,4,7
kitspace,2019-02-12T20:17:30.972Z,3,5,24,3,2,0,5,1,3,2,6,22,5,1,28,5,22
gtk-rs,2020-04-02T16:48:36.029Z,135,84,93,180,127,131,98,86,166,132,131,92,23,75,223,212,93
alchemy_cms,2020-01-31T00:31:00.848Z,20,21,0,38,10,79,77,26,25,35,76,14,50,67,58,8,9
fakerjs,2017-02-22T13:38:55.200Z,7,15,5,11,7,4,0,6,42,12,2,0,4,5,3,37,38
lairdubois-opencutlist-sketchup-extension,2019-11-11T12:02:52.805Z,4,10,50,60,7,23,49,19,61,19,1,3,1,43,139,33,29
webqit,2022-09-17T02:49:49.461Z,4,0,0,0,0,0,0,0,0,0,0,0,37,12,0,0,0
commitizen-tools,2023-03-06T20:11:53.483Z,20,54,30,26,12,30,13,12,9,76,17,33,26,29,36,20,5
cezerin2,2019-05-13T05:32:30.062Z,0,0,0,0,0,0,0,0,5,0,0,0,0,0,42,1,1
drogon,2023-04-08T18:15:01.838Z,15,11,4,12,2,8,6,22,15,16,7,13,40,9,8,14,15
linearmouse,2022-02-16T10:38:20.445Z,35,12,2,2,0,7,15,18,48,1,1,7,49,47,13,9,5
jellyfin,2019-02-07T05:23:11.906Z,0,0,24,1,6,4,319,626,492,256,109,38,70,111,130,145,162
soupault,2022-01-27T02:33:46.391Z,11,26,10,9,5,12,4,14,56,19,15,28,21,4,3,12,29
project-atlantis,2022-09-07T23:08:12.151Z,17,5,1,1,2,0,2,2,14,11,26,12,6,8,6,0,0
react-data-table-component,2021-07-13T21:49:09.704Z,13,0,3,9,0,5,4,13,0,22,30,24,3,3,0,4,0
geostyler,2023-05-23T06:54:52.580Z,15,0,76,44,52,15,12,2,109,131,50,25,4,0,13,30,2
simply,2022-02-17T05:54:27.338Z,0,4,0,0,0,1,18,5,10,12,12,2,25,2,11,0,2
jrnl,2020-03-11T04:05:38.015Z,14,11,2,10,41,6,39,31,19,36,37,17,30,14,8,16,34
go-app,2020-09-01T16:06:57.838Z,0,6,19,14,7,57,15,4,2,0,7,6,12,82,47,6,0
toybox,2022-05-06T02:24:15.211Z,61,20,28,27,26,25,27,47,53,41,42,27,39,44,22,34,50
substats,2021-07-10T09:21:56.643Z,16,2,3,0,0,0,0,0,0,0,0,0,0,0,4,55,0
csstree,2024-09-03T13:45:57.174Z,0,0,0,0,0,0,0,5,24,6,21,8,2,0,0,2,4
falcon,2018-10-06T16:14:40.026Z,0,1,11,25,3,6,21,0,4,4,13,8,33,17,9,20,0
fluffos-579,2021-01-08T05:36:39.773Z,4,0,6,15,12,18,33,19,4,35,23,25,5,3,24,13,16
tinygo,2022-11-20T16:24:57.546Z,58,52,42,52,58,45,74,33,35,24,43,64,173,55,49,27,15
telega,2021-01-02T00:15:33.036Z,30,17,33,7,6,18,6,70,45,31,34,31,8,32,20,48,19
passkit-generator,2020-09-02T03:34:20.605Z,0,0,0,0,0,0,0,0,17,0,0,0,0,31,2,0,3
react-awesome-query-builder,2020-02-15T17:04:13.789Z,0,6,4,0,1,60,25,12,11,16,28,28,11,12,19,18,11
platypus,2021-05-03T05:09:58.730Z,0,1,0,0,26,0,15,69,44,4,61,46,13,5,0,2,15
nodemon,2017-12-07T20:28:06.923Z,0,4,1,0,1,23,2,1,76,13,20,6,2,10,1,12,3
formik,2019-09-27T10:52:46.349Z,27,30,9,41,70,46,20,17,2,71,44,59,85,16,3,4,13
libreplan,2024-08-02T13:34:23.538Z,0,0,0,0,0,0,0,0,3,7,1,20,0,0,0,6,0
doctoolchain,2018-11-28T21:47:52.510Z,24,0,2,3,20,13,6,47,43,12,32,5,15,9,37,34,5
stalwart,2024-09-24T10:31:06.924Z,26,17,29,45,56,28,37,53,60,40,20,50,65,16,44,20,70
classicpress,2022-06-29T18:45:41.199Z,26,33,15,3,33,31,22,17,8,23,15,45,30,38,27,18,18
axios,2021-03-31T20:07:03.371Z,3,2,2,10,2,3,3,4,7,7,9,0,0,8,19,19,1
anndatar,2024-07-24T14:37:55.820Z,1,11,0,0,0,1,0,2,5,4,0,0,10,4,7,9,14
mwmbl,2022-02-02T16:12:25.718Z,3,0,0,0,0,0,71,14,29,5,0,2,44,42,28,0,0
keepassxc,2019-02-09T06:59:27.144Z,14,16,18,27,49,29,15,59,27,40,55,27,50,9,14,18,47
helio-workstation,2020-02-08T13:26:48.202Z,37,19,26,55,32,26,8,19,21,26,24,46,26,30,44,25,31
nock,2018-04-27T19:33:16.584Z,2,38,16,9,2,3,24,11,2,6,14,17,27,18,11,6,36
countries-states-cities,2020-09-18T22:32:57.059Z,0,0,0,0,0,0,0,0,0,24,3,1,0,0,1,0,0
cp-algorithms,2024-02-28T14:11:57.074Z,30,33,28,46,38,21,41,21,33,6,11,12,74,65,8,4,107
saasfly,2024-04-19T15:11:29.449Z,0,0,0,0,0,0,1,5,34,15,3,7,3,6,0,1,0
asciidoctor,2018-04-18T02:05:57.720Z,40,63,34,22,21,14,19,25,239,74,0,18,24,58,68,12,13
crystal-lang,2018-12-12T22:51:50.801Z,110,64,75,85,90,89,72,46,89,75,85,52,82,84,62,108,112
reactiveui,2017-03-21T19:08:37.547Z,0,11,6,29,10,0,17,23,17,14,22,1,3,33,26,17,9
quicksilver,2022-02-01T03:27:21.249Z,32,0,10,0,0,51,113,106,102,83,69,85,53,28,9,13,0
open-research-calendar,2022-10-01T23:25:38.762Z,8,11,1,1,3,6,1,1,27,3,37,2,5,5,5,2,1
scipy,2022-04-05T20:39:19.137Z,144,104,191,211,208,222,181,183,144,254,142,229,203,181,160,179,123
mariadb4j,2023-05-11T15:05:14.870Z,9,17,10,4,5,0,28,15,17,8,11,6,34,18,7,14,17
terser,2019-09-04T10:46:37.653Z,14,28,20,1,14,24,25,45,50,18,24,30,34,11,40,33,8
single-spa,2020-01-30T21:33:37.866Z,14,9,9,1,7,1,2,3,4,5,18,20,14,5,7,0,3
amplitudejs,2019-06-20T21:20:22.052Z,0,5,6,13,1,4,1,7,12,47,2,1,0,12,0,0,1
spaceship-prompt,2022-01-15T10:46:04.415Z,52,57,133,14,16,14,2,3,4,6,12,6,90,32,4,43,124
pikepdf,2021-07-26T13:20:34.318Z,57,21,39,17,79,42,16,50,99,131,23,24,37,43,39,43,7
gowechat,2021-07-22T03:11:36.857Z,3,1,1,4,5,6,2,7,15,15,23,1,5,6,3,2,0
hypha,2021-02-03T15:41:32.581Z,76,61,65,65,56,57,20,33,45,58,41,51,78,29,77,84,41
bioicons,2024-04-18T09:47:24.557Z,7,4,4,19,0,2,3,5,39,9,2,2,0,8,16,31,1
floccus,2019-09-17T01:07:43.438Z,9,14,40,48,17,13,45,27,21,12,6,45,38,26,23,69,19
task,2018-04-23T15:30:55.969Z,10,14,7,12,3,4,7,20,17,2,7,14,16,16,18,6,22
imask,2019-07-26T11:14:11.957Z,10,8,5,2,2,23,11,10,23,15,3,6,7,44,4,12,4
xlayers,2020-07-21T14:08:30.448Z,9,1,0,16,11,0,0,0,0,0,10,17,13,5,3,3,10
puppeteer-screen-recorder,2023-11-11T18:07:37.557Z,0,0,3,3,0,0,0,0,0,0,0,12,0,2,0,16,0
jira-cli,2021-11-07T04:11:09.442Z,2,4,11,11,2,5,23,14,24,9,14,10,16,8,15,16,8
nsfwfilter,2023-01-14T07:56:23.833Z,2,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,21
intellij-rainbow-brackets,2019-07-18T12:48:38.338Z,12,4,10,15,4,11,2,9,20,5,17,10,5,7,24,16,5
home-assistant-cli,2024-03-29T08:04:13.578Z,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
awesome-python,2019-11-12T01:27:10.336Z,26,4,34,1,0,9,9,14,17,14,10,11,5,35,2,21,21
timecat,2020-07-21T07:44:03.772Z,0,0,0,3,113,65,85,96,73,78,79,52,13,57,61,17,26
focusmastodon,2024-06-14T02:36:32.494Z,0,0,0,0,0,0,0,0,40,12,0,3,6,0,0,0,0
iplug2,2022-10-04T14:14:48.091Z,42,31,20,16,18,18,33,58,7,14,65,36,48,27,20,32,15
iconify,2024-04-20T18:20:11.886Z,18,4,3,8,14,15,8,0,18,27,1,21,6,1,0,28,7
guppe-groups,2022-11-22T17:39:59.918Z,0,3,9,2,0,0,0,0,26,5,9,0,4,0,4,12,0
ua-parser-js,2021-03-11T01:33:35.336Z,2,5,6,2,5,11,8,6,59,37,0,1,2,0,11,14,0
koko-analytics,2022-08-17T13:08:54.894Z,0,12,2,0,0,2,14,0,13,15,9,11,9,0,0,0,6
pytables,2022-04-05T20:29:14.359Z,2,12,0,0,113,22,0,56,4,0,0,0,33,4,42,25,121
fastapi-template,2022-11-04T10:12:28.990Z,0,14,8,9,22,2,0,4,5,12,4,4,15,10,4,9,20
syspass,2022-04-28T08:50:25.111Z,0,1,0,0,0,0,0,0,0,8,10,2,0,0,0,0,0
openframeworks,2022-05-05T16:52:20.364Z,29,15,13,19,48,29,20,21,49,5,7,11,56,35,59,27,13
ffpopup,2018-12-18T09:37:36.048Z,0,0,0,0,0,0,0,41,106,0,0,0,51,0,9,0,0
skia4delphi,2022-02-16T01:07:36.870Z,0,0,15,21,6,0,0,0,25,18,28,1,2,5,4,3,0
reconmap,2021-11-02T13:11:36.802Z,0,1,4,0,0,8,7,2,0,9,5,8,3,9,4,0,2
eruda,2022-03-19T21:12:07.445Z,0,0,8,2,0,0,0,0,0,5,1,0,7,2,0,0,13
ucs,2024-07-31T15:13:40.148Z,1,2,7,9,5,6,36,54,18,69,0,1,13,5,19,10,21
pokeapi,2019-07-10T22:53:14.184Z,1,1,10,3,0,1,3,2,0,1,1,2,9,19,1,5,1
opencollective-oss,2017-08-05T18:48:10.517Z,0,0,0,0,0,0,0,0,0,0,2,0,2,2,5,5,2
verso,2024-09-03T14:28:46.156Z,27,2,8,28,11,12,25,37,12,20,27,11,7,17,26,45,15
deskreen,2021-01-19T08:22:26.873Z,0,0,0,26,9,0,7,6,58,56,8,0,0,1,0,0,0
warden,2022-11-29T19:59:01.522Z,1,40,0,0,0,0,6,2,4,7,20,4,13,8,1,2,11
xgo,2022-08-31T00:20:42.719Z,3,1,2,3,2,2,1,1,4,1,2,9,1,9,7,1,2
css-doodle,2019-09-05T18:53:57.410Z,3,8,0,11,10,0,4,0,0,3,12,9,1,0,22,6,0
contributor-covenant,2019-11-09T18:25:50.632Z,14,13,11,6,11,9,20,23,18,13,8,11,8,19,28,19,17
javaistic,2024-01-16T22:23:13.180Z,6,14,2,13,11,60,28,22,21,30,33,22,10,10,13,22,32
xdebug,2020-07-17T09:03:33.686Z,30,42,49,44,49,21,27,45,74,35,69,38,56,57,37,5,26
vitest,2023-03-24T16:21:26.270Z,97,92,66,63,58,85,111,65,67,66,79,98,58,62,58,103,128
blosc,2022-04-05T18:43:03.620Z,23,16,5,12,13,13,21,39,19,18,28,19,19,36,6,15,16
emplea_do,2018-06-06T03:01:30.620Z,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0
libplacebo,2021-01-05T21:09:36.285Z,143,76,35,0,2,4,57,27,23,43,52,89,85,15,36,15,24
hydra-synth,2021-02-17T10:50:43.831Z,4,2,0,0,0,7,4,5,10,5,1,5,1,1,1,0,21
il-libro-open-source,2023-10-10T07:48:29.635Z,0,0,0,0,0,1,10,22,8,8,5,13,6,2,0,9,3
clinical-meteor,2021-07-20T18:41:34.150Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
the-london-django-meetup-group,2018-05-09T10:00:46.742Z,1,1,0,2,4,2,2,5,15,1,6,7,5,8,1,0,2
jotai,2020-12-16T03:42:41.652Z,0,0,0,0,79,107,76,39,26,24,54,52,41,31,51,30,30
