project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
reqnroll,2024-04-15T09:13:42.137Z,0,0,0,0,0,5,14,11,12,19,8,6,8,7,11,12,8
bootstrap-vue-next,2023-05-17T06:18:08.931Z,76,30,24,23,37,25,21,41,73,40,46,46,67,22,63,25,17
mytestedaspnet,2019-07-13T19:02:23.178Z,0,0,0,0,0,0,0,0,1,18,11,4,4,3,5,3,1
phpbb,2023-01-12T22:58:41.661Z,1,7,7,2,2,6,8,8,19,11,4,7,4,17,19,6,22
cadsketcher,2022-05-05T14:27:53.496Z,1,0,0,0,0,0,9,2,6,25,7,12,11,1,1,0,4
owncast,2021-03-02T16:54:16.622Z,0,0,8,55,54,44,43,34,43,41,46,40,50,22,33,29,24
tvheadend,2023-12-07T21:24:52.708Z,9,4,11,4,18,2,2,8,16,15,38,10,11,3,12,4,12
assimp,2021-01-25T21:26:28.158Z,33,27,28,14,6,19,22,24,41,20,19,52,51,19,26,20,13
jmonkeyengine,2020-11-03T08:06:31.349Z,6,29,5,3,0,6,2,9,12,10,4,9,19,32,16,7,10
restsharp,2021-12-13T19:29:09.775Z,3,11,6,9,4,2,5,6,10,16,14,24,8,10,6,7,7
autokeras,2018-11-12T17:09:26.328Z,4,3,2,3,3,67,25,29,30,21,49,42,26,5,3,23,13
drogon,2023-04-08T18:15:01.838Z,14,10,6,9,3,9,11,18,16,18,13,11,34,13,10,11,15
mue,2022-11-02T18:21:53.746Z,8,10,9,12,9,6,5,7,12,6,7,11,11,13,15,18,30
sapphiredev,2021-12-05T21:40:41.936Z,0,0,3,3,5,12,7,10,8,11,9,9,10,15,11,11,8
ant-design-vue,2018-09-06T00:41:55.764Z,0,0,0,3,2,3,3,3,6,1,2,11,8,8,11,10,6
reactive-resume,2023-11-25T04:39:03.334Z,6,7,8,13,15,8,14,12,50,22,24,15,16,16,20,8,4
nodejs-mobile,2023-09-27T12:58:51.255Z,0,0,0,0,0,1,0,0,3,12,4,2,6,6,6,7,0
podsframework,2021-07-22T06:16:10.631Z,8,8,8,8,6,16,5,11,6,7,13,25,17,12,18,12,7
prettier-eslint,2024-03-28T20:37:46.508Z,16,15,13,9,0,1,2,9,4,12,6,10,18,9,9,19,23
cusdis,2021-04-23T12:51:02.349Z,0,0,0,0,0,0,0,0,40,15,6,1,3,0,4,8,3
bumbag,2020-07-20T03:28:44.357Z,0,0,0,0,0,0,0,0,5,15,8,3,1,3,1,2,6
floccus,2019-09-17T01:07:43.438Z,0,0,2,11,9,7,16,6,13,8,13,5,11,8,11,15,19
welcometomygarden,2020-05-20T11:53:08.964Z,0,0,0,0,0,0,0,0,6,20,2,15,2,0,0,0,0
jreleaser,2021-07-14T15:15:24.064Z,2,0,0,0,4,0,2,6,1,2,0,32,11,4,2,1,1
nock,2018-04-27T19:33:16.584Z,4,15,12,9,2,4,12,12,2,7,10,10,13,9,7,1,52
cyclejs,2016-09-20T08:31:40.598Z,3,3,2,1,3,0,8,10,12,9,7,13,1,8,10,5,15
saasfly,2024-04-19T15:11:29.449Z,0,0,0,0,0,0,0,3,33,16,4,7,4,3,6,1,0
react-three-fiber,2019-09-12T00:58:24.973Z,0,3,12,6,3,9,8,5,15,15,4,6,12,4,6,7,30
statoscope,2021-03-10T23:25:18.271Z,0,0,0,0,0,2,2,2,3,2,9,5,4,3,9,11,1
hyper-term,2021-09-19T23:01:34.031Z,0,0,57,52,68,55,60,70,52,53,60,35,49,46,55,52,50
il-libro-open-source,2023-10-10T07:48:29.635Z,0,0,0,0,0,0,3,19,14,14,8,17,7,4,2,6,1
web-scrobbler,2022-04-01T23:14:22.198Z,14,16,17,8,8,10,17,28,22,12,6,11,18,29,38,22,18
reach-ui,2019-10-22T16:46:06.645Z,1,3,14,14,17,10,12,10,47,24,6,16,15,17,12,15,12
swiper,2021-01-29T07:03:01.329Z,11,4,6,5,3,6,21,29,40,26,17,19,14,11,12,10,12
tracardi-cdp,2022-04-27T10:01:15.984Z,2,0,6,18,13,16,16,4,17,17,14,29,18,15,11,7,0
xdebug,2020-07-17T09:03:33.686Z,8,12,12,5,15,6,7,12,28,12,30,16,20,17,10,1,7
marktext,2018-05-08T18:24:53.865Z,0,0,0,0,0,1,37,40,27,31,10,18,3,12,19,13,8
chrome-react-ai,2019-09-23T13:03:14.362Z,0,0,0,0,0,0,13,11,9,21,9,15,0,0,2,12,1
redmodding,2021-02-17T16:15:27.686Z,5,8,13,24,16,18,2,19,43,32,21,12,24,12,19,12,8
react-awesome-query-builder,2020-02-15T17:04:13.789Z,0,1,2,0,0,6,8,7,5,7,6,10,7,2,11,7,9
mkdocs,2023-08-29T15:37:49.267Z,4,5,4,4,11,12,14,14,14,16,15,12,21,10,6,4,18
code-settings-sync,2018-03-20T13:17:26.114Z,2,0,0,8,5,4,3,5,4,3,5,2,12,9,8,15,7
safing-portmaster,2023-10-19T13:16:49.439Z,9,6,7,2,1,4,9,7,5,3,6,2,1,16,22,16,13
onedark-pro,2021-07-06T14:56:57.118Z,6,6,1,11,5,9,6,2,10,16,12,25,6,0,3,2,16
xlayers,2020-07-21T14:08:30.448Z,8,2,0,1,3,0,0,0,0,0,6,18,6,6,0,3,8
komga,2020-06-13T23:42:15.416Z,0,0,0,0,3,3,0,1,3,9,5,1,2,2,1,4,16
anndatar,2024-07-24T14:37:55.820Z,2,24,0,1,0,0,0,1,3,6,4,0,9,7,7,12,16
mewsfeed,2023-04-11T15:48:31.024Z,2,0,0,2,4,7,3,10,9,15,3,6,12,22,2,0,1
falcon,2018-10-06T16:14:40.026Z,2,4,7,39,5,5,5,4,7,6,8,14,26,15,8,23,3
lairdubois-opencutlist-sketchup-extension,2019-11-11T12:02:52.805Z,1,0,3,3,0,1,2,1,3,3,0,0,1,2,27,5,5
javascript-obfuscator,2017-06-02T12:44:38.425Z,0,1,1,5,0,1,1,1,0,1,1,1,0,7,11,8,13
rottingresearch,2023-05-04T19:28:12.052Z,1,11,0,8,0,1,7,8,15,5,3,4,6,31,5,3,10
octobercms,2019-07-03T10:15:14.967Z,19,39,28,41,17,43,27,26,45,47,26,45,33,27,37,17,39
gowechat,2021-07-22T03:11:36.857Z,4,2,2,4,11,7,2,6,8,21,26,3,7,3,4,3,2
reactiveui,2017-03-21T19:08:37.547Z,0,10,8,17,10,4,17,26,19,3,21,9,7,28,29,17,9
microcks,2023-11-28T18:42:32.801Z,3,5,0,0,1,1,2,15,10,3,3,13,9,11,7,6,6
alfio,2019-08-25T15:29:57.540Z,4,8,10,2,7,5,18,12,17,29,32,9,4,5,5,4,8
generator-jhipster,2017-12-04T17:37:57.900Z,1,2,3,5,1,1,5,4,4,2,1,11,10,9,9,4,6
gwdevhub_collective,2023-12-15T06:44:35.169Z,2,0,2,1,14,2,8,4,1,1,1,2,8,26,4,15,6
badaso,2021-08-04T02:15:28.111Z,0,0,0,15,46,55,79,49,36,37,31,42,14,18,32,96,4
javaparser,2023-11-22T05:53:27.922Z,25,30,17,23,8,18,10,27,36,28,15,18,16,30,36,31,13
aframe,2024-11-22T20:27:48.276Z,12,10,8,14,3,4,8,8,9,0,25,22,15,8,17,4,5
urllib3,2020-12-27T20:15:17.165Z,23,6,5,9,19,37,17,44,17,10,10,19,6,27,51,27,39
peachpiecompiler,2020-01-29T16:16:44.497Z,1,1,2,4,2,3,4,2,5,6,3,6,5,5,4,10,9
pre-commit,2018-11-02T03:09:53.665Z,9,3,9,7,19,5,3,9,3,15,17,8,12,9,15,5,12
openpracticelibrary,2023-07-13T08:12:57.676Z,12,17,12,14,2,15,6,10,20,13,23,13,17,4,18,10,19
