slug,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月
rollup,2018-01-12T01:29:15.038Z,0,0,0,0,0,0,0,0,0,0,0,0,0
assemblyscript,2018-09-29T21:22:25.797Z,0,0,0,0,0,0,0,0,0,0,0,0,0
jekyll,2018-07-31T14:49:15.360Z,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript-eslint,2019-08-05T17:00:01.575Z,0,0,0,0,0,0,0,0,0,0,0,0,0
astrodotbuild,2021-08-14T02:58:28.579Z,0,0,0,0,0,0,0,0,0,0,0,0,0
farmos,2019-02-20T17:48:15.716Z,0,0,0,0,0,0,0,0,0,0,0,0,0
axios,2021-03-31T20:07:03.371Z,0,1,0,0,0,0,0,0,0,0,0,0,0
monitorcontrol,2021-08-19T19:31:47.381Z,0,0,0,0,0,0,0,0,0,0,0,0,0
gotosocial,2022-06-01T19:43:13.733Z,0,1,0,0,0,0,0,0,0,0,0,8,0
asciidoctor,2018-04-18T02:05:57.720Z,0,0,0,0,0,0,0,0,0,0,0,0,0
phalcon,2017-03-27T19:12:02.048Z,0,0,0,0,0,1,1,0,0,0,0,0,0
pnpm,2018-10-12T10:46:19.735Z,0,0,0,0,0,0,0,0,0,0,0,0,0
edgetx,2021-11-03T21:38:43.190Z,0,0,0,0,0,0,0,0,0,0,0,0,0
octobox,2017-01-16T11:26:19.156Z,0,0,0,0,0,0,0,0,0,0,0,0,0
meshtastic,2022-04-20T05:23:50.436Z,0,0,0,0,0,0,0,0,0,0,0,0,0
ampalibe,2022-08-12T12:44:08.813Z,0,0,0,0,0,0,0,0,0,0,0,0,0
panda3d,2019-02-27T19:41:06.200Z,0,0,1,0,0,0,0,0,0,0,0,0,0
laradock,2019-01-30T16:37:36.407Z,0,0,0,0,0,0,0,0,0,0,0,0,0
floating-ui,2020-01-08T16:42:33.988Z,0,0,0,0,0,0,0,0,0,0,0,0,0
ngrx,2017-07-18T17:14:03.380Z,0,0,0,0,0,0,0,1,0,0,0,0,0
grapesjs,2017-10-03T04:04:28.077Z,0,0,0,0,0,0,0,0,0,0,0,0,0
openapi_generator,2019-04-09T10:14:07.133Z,0,1,0,0,2,0,1,2,0,2,0,1,0
stride3d,2021-10-21T18:13:26.562Z,0,0,0,0,0,0,0,0,0,0,0,0,0
solidus,2019-01-16T16:54:06.547Z,0,0,0,0,0,0,0,0,0,0,0,0,0
openframeworks,2022-05-05T16:52:20.364Z,0,0,0,0,1,0,0,0,0,0,2,0,0
pixijs,2019-07-17T02:04:20.678Z,0,0,0,0,0,0,0,0,0,1,0,0,0
prowlarr,2021-05-30T21:18:43.442Z,0,0,0,0,0,0,0,0,0,0,0,0,0
discordpy,2022-04-03T00:50:44.364Z,0,0,0,0,0,0,0,0,0,0,0,0,0
openmined,2018-06-28T01:34:07.007Z,0,0,0,0,0,0,0,0,0,0,0,0,0
cucumber,2017-06-23T12:25:54.126Z,0,0,0,0,0,0,0,0,0,0,0,0,0
carbon,2019-02-25T19:54:07.338Z,0,0,0,0,0,0,0,0,0,0,0,0,0
mautic,2020-08-14T01:20:26.098Z,0,0,0,0,0,0,0,0,0,0,0,1,0
antennapod,2021-03-07T17:03:34.136Z,0,0,0,0,0,0,0,0,0,0,0,0,0
typegraphql,2019-03-18T10:25:04.923Z,0,0,0,0,0,0,0,0,0,0,0,0,0
gitextensions,2018-11-01T14:05:26.056Z,0,0,1,0,0,0,0,0,0,0,0,0,0
owncast,2021-03-02T16:54:16.622Z,0,1,0,1,0,1,6,9,7,57,32,27,0
lwjgl,2017-11-08T21:38:04.055Z,0,0,0,0,0,0,0,0,0,0,0,0,0
electron,2018-03-22T14:54:51.845Z,0,0,0,0,0,0,0,0,0,0,0,0,1
celery,2018-04-17T16:47:47.482Z,0,0,0,0,0,0,0,0,0,0,0,1,0
emacs-lsp,2020-07-07T15:01:03.772Z,0,0,0,0,66,128,105,110,74,35,49,46,1
sindresorhus,2019-03-07T17:40:10.477Z,0,0,0,0,0,0,0,0,0,0,0,0,0
xstate,2018-09-10T16:22:09.123Z,0,0,0,0,0,0,0,0,0,0,0,0,0
intellij-rainbow-brackets,2019-07-18T12:48:38.338Z,0,0,0,0,0,0,0,0,0,0,0,0,0
caprover,2019-02-05T06:57:03.983Z,0,0,0,0,0,0,0,0,0,0,0,0,0
redux-devtools-extension,2016-11-03T15:52:23.487Z,0,0,0,0,0,0,0,0,0,0,0,0,0
mixxx,2020-09-22T23:25:19.148Z,0,0,0,0,1,0,0,0,0,0,0,0,0
adnauseam,2017-08-29T14:27:37.778Z,0,0,0,0,0,0,0,0,0,0,0,0,0
cyclejs,2016-09-20T08:31:40.598Z,0,0,0,0,2,0,0,1,0,0,0,0,6
freecad,2022-04-04T05:58:01.448Z,0,0,2,0,0,0,0,0,0,1,0,1,0
editorjs,2019-04-02T11:12:39.189Z,0,0,0,0,0,0,0,0,0,0,0,1,0
ancientbeast,2019-12-06T21:57:36.039Z,0,0,0,0,0,0,0,0,0,0,0,0,0
openscad,2021-01-31T21:39:38.291Z,0,0,0,0,0,0,0,0,0,0,0,0,0
hledger,2017-01-20T19:21:45.076Z,0,0,0,0,0,0,0,0,0,0,0,0,0
reactiveui,2017-03-21T19:08:37.547Z,0,0,0,0,0,0,0,0,0,0,0,0,0
nativescript,2020-06-26T21:21:47.587Z,0,0,0,0,0,0,0,0,0,0,0,0,0
reactiveui,2017-03-21T19:08:37.547Z,0,0,0,0,0,0,0,0,0,0,0,0,0
web-scrobbler,2022-04-01T23:14:22.198Z,2,0,3,3,2,9,6,0,4,4,5,2,0
weg-li,2020-03-26T13:44:20.347Z,0,0,0,0,0,0,0,0,0,0,0,0,0
goreleaser,2018-02-20T15:54:04.885Z,0,0,0,0,0,0,0,0,0,0,0,0,0
spec,2020-06-16T15:37:43.078Z,0,0,0,0,0,0,0,0,0,0,0,0,0
warzone2100,2021-07-27T22:22:39.357Z,0,0,0,0,0,0,0,0,0,0,0,0,0
husky,2019-06-26T15:37:59.804Z,0,0,0,0,0,0,0,0,0,0,0,0,0
postcss,2019-12-23T19:20:30.096Z,0,0,0,0,0,0,0,0,0,0,0,0,0
xgboost,2019-03-04T22:36:17.327Z,0,0,0,0,0,0,0,0,0,0,0,0,0
react-hook-form,2019-09-23T19:35:01.451Z,0,0,0,1,1,1,1,1,1,0,0,2,0
signalk,2021-12-11T08:45:45.802Z,0,0,0,0,0,0,0,0,0,0,0,0,0
