project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月,+7月,+8月
Reactive-Resume,2023-06-01T11:29:33Z,22,13,14,12,9,6,7,8,13,15,8,14,12,50,22,24,15
dolt,2021-03-15T21:58:39Z,23,28,33,60,54,77,100,76,84,83,88,82,67,95,83,71,89
eslint-plugin-react,2023-10-11T13:23:06Z,4,5,1,4,4,10,4,3,3,4,3,8,6,9,10,10,6
million,2021-08-18T04:17:37Z,0,0,0,0,0,0,40,47,7,5,13,3,0,1,3,1,1
DALLE2-pytorch,2022-06-07T10:51:47Z,0,0,0,0,0,0,8,35,18,15,2,1,2,4,1,0,0
polybar,2022-02-03T23:09:40Z,3,6,1,16,20,3,3,11,12,30,18,17,5,3,5,6,12
lobe-chat,2024-06-07T02:17:48Z,72,53,102,93,76,118,151,145,128,122,137,209,140,112,162,150,314
fd,2019-10-31T13:09:27Z,1,2,2,1,6,0,1,7,5,3,3,3,0,4,16,12,1
youtube-transcript-api,2024-04-12T15:52:33Z,0,0,1,1,4,0,2,0,1,3,0,0,2,3,1,5,1
awesome-javascript,2025-02-19T05:04:57Z,5,2,2,3,2,1,0,2,11,7,5,2,2,2,3,10,1
react-navigation,2020-05-20T20:26:49Z,7,4,1,7,3,21,26,36,33,23,26,15,29,19,7,4,9
git-branchless,2022-09-20T16:25:02Z,2,14,32,40,24,17,40,28,33,28,51,22,38,37,42,32,24
azul,2025-05-14T19:58:32Z,1,0,0,0,0,0,0,5,0,3,0,0,12,6,0,0,0
copyparty,2025-07-28T18:01:16Z,1,0,2,2,0,4,2,2,39,58,22,16,3,0,0,0,0
openscad,2021-09-12T10:22:13Z,33,34,9,9,25,9,6,8,17,34,8,26,20,47,31,31,13
OneMore,2022-05-31T13:38:13Z,14,12,13,5,17,21,4,0,3,10,0,18,28,25,36,16,19
fzf,2022-07-31T03:34:05Z,4,4,3,4,6,10,14,6,12,20,13,11,9,4,8,11,11
nalgebra,2020-08-20T13:56:11Z,3,2,2,6,7,2,5,4,3,1,11,10,8,4,4,11,14
thruk,2022-06-08T09:21:37Z,0,2,0,0,1,0,0,0,0,1,0,1,2,1,1,0,1
ariadne,2022-02-24T16:37:27Z,0,1,1,0,0,1,3,0,0,1,1,0,3,1,1,4,1
AsyncEx,2020-05-29T23:55:18Z,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
tor-socks-proxy,2019-09-10T16:35:51Z,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,4
sh,2020-01-10T15:44:22Z,0,1,0,2,4,9,1,5,11,9,2,5,1,2,3,3,4
clash-verge-rev,2025-05-19T07:24:21Z,0,5,10,15,6,26,44,14,18,71,58,53,50,155,10,0,0
roop,2022-09-11T09:08:05Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
react-three-fiber,2022-01-20T22:49:35Z,17,6,4,3,12,21,10,15,14,9,20,17,22,13,16,19,22
apprise,2020-07-19T21:57:45Z,8,6,8,2,8,1,0,6,9,16,12,6,3,5,4,7,5
minijinja,2022-01-30T00:17:46Z,0,0,0,0,10,7,2,9,6,2,5,1,0,2,1,9,32
cash,2022-01-27T18:42:31Z,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,2,0
svgr,2021-03-24T10:17:56Z,6,3,1,6,2,4,1,0,2,3,4,2,2,3,7,5,14
Win11Debloat,2024-07-11T09:49:17Z,1,0,0,0,1,0,3,5,2,2,1,3,0,2,1,3,3
async-trait,2019-11-15T20:49:51Z,0,0,0,0,9,3,3,5,2,3,1,2,3,5,5,6,0
taskwarrior,2021-05-26T08:35:20Z,3,1,11,6,10,0,5,22,3,8,13,16,10,14,10,1,6
oh-my-posh,2021-04-12T20:34:56Z,0,13,57,49,55,39,46,67,46,38,24,25,23,51,60,102,87
immich-go,2024-07-06T08:57:54Z,1,3,4,17,15,6,17,31,33,19,5,8,6,16,25,46,26
vivid,2019-10-31T13:09:27Z,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2
chroma,2021-03-01T06:28:15Z,5,3,7,8,3,7,2,3,4,15,32,8,5,7,7,4,6
Apktool,2023-08-24T20:53:05Z,2,2,1,10,6,12,11,72,29,18,34,10,15,7,13,6,13
Dexie.js,2023-03-01T07:31:39Z,1,0,2,7,0,1,2,3,3,5,7,11,3,2,0,2,2
mailpit,2023-06-26T13:58:31Z,1,0,0,1,19,3,4,9,4,5,3,5,13,1,2,10,4
linaria,2022-06-15T19:54:47Z,5,11,9,4,18,9,9,6,15,22,11,7,24,23,19,17,12
winutil,2023-05-22T20:22:42Z,38,53,26,11,6,3,12,6,29,12,17,17,39,16,30,30,84
cargo-expand,2019-11-15T20:49:51Z,0,3,0,0,0,1,0,0,0,1,0,0,1,4,1,1,2
Steamworks.NET,2021-04-15T09:00:25Z,0,0,1,0,1,1,0,0,2,1,1,1,2,0,3,2,0
react-native-paper,2022-06-15T19:54:47Z,25,15,9,15,24,11,12,5,25,23,25,17,33,22,22,26,42
