project_name,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月
web3,2024-04-01,45.0,32.0,25.0,40.0,42.0,43.0,20.0,33.0,20.0,25.0,12.0,41.0,40.0
glo-foundation,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,53.0,38.0,18.0,0.0
namehash,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
soliditylabs,2022-09-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
quic-go,2024-04-01,19.0,17.0,15.0,20.0,4.0,23.0,29.0,30.0,18.0,10.0,14.0,11.0,17.0
shutter-network,2024-04-01,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,10.0,14.0,17.0,35.0
official-moondao,2023-08-01,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prysmaticlabs,2019-02-01,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,7.0,7.0,7.0
helheimlabs,2023-08-01,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,4.0,1.0,0.0,0.0
kredeum,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,6.0,0.0,2.0
rekthq,2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
antalpha-labs,2024-01-01,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0
jiffy-labs,2023-11-01,0.0,0.0,14.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
web3hacker-world,2023-08-01,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prb-math-paulrberg,2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
relaycc,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,24.0,7.0,8.0
dapplooker,2024-06-01,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
orange-wallet,2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
efdevcon,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0
all-weather-protocol,2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,0.0
crunchdao,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0,2.0,9.0,0.0,0.0,4.0
dappreader,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
internetmaximalism,2022-08-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,6.0
web3go-xyz,2022-10-01,4.0,15.0,11.0,4.0,1.0,12.0,3.0,5.0,6.0,5.0,0.0,16.0,17.0
cpa-protocol,2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
seroxdesign,2024-08-01,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
despace-community,2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
moloch-mystics,2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
aletheia-data,2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
defilab-xyz,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
llamapay,2022-08-01,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
decartography,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
everyname-xyz,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
silius-rs,2024-04-01,0.0,4.0,6.0,2.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0
enviodev,2024-09-01,0.0,1.0,2.0,3.0,1.0,3.0,13.0,15.0,11.0,4.0,2.0,0.0,15.0
examp-llc,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
cronian-tech,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
zenguardxyz,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
cryptosmartnow,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
wearekickback,2019-10-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,9.0,2.0,16.0,4.0
solide-project,2024-04-01,0.0,0.0,0.0,4.0,4.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0
porters-xyz,2024-04-01,0.0,0.0,0.0,1.0,10.0,27.0,34.0,67.0,0.0,11.0,0.0,0.0,0.0
deplatformr,2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0
ethereum-burn-stats-mohamedmansour,2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fiat-connect,2023-04-01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
w3c,2021-11-01,494.0,570.0,512.0,392.0,415.0,140.0,510.0,427.0,441.0,398.0,526.0,410.0,528.0
aztecprotocol,2021-11-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
tryethernal,2022-03-01,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0
